Departure location,Arrival location,Time min,Time max
Prins Clausplein,Gouwe,10,14
Gouwe,Prins Clausplein,12,16
Prins Clausplein,Kethelplein,12,12
Kethelplein,Prins Clausplein,10,10
Benelux,Kethelplein,4,4
Kethelplein,Benelux,4,4
Benelux,Vaanplein,6,6
Vaanplein,Benelux,6,6
Ridderkerk,Vaanplein,2,2
Vaanplein,Ridderkerk,3,3
Ridderkerk,Terbregseplein,6,6
Terbregseplein,Ridderkerk,6,6
Kethelplein,Terbregseplein,9,9
Terbregseplein,Kethelplein,8,8
Gouwe,Terbregseplein,7,9
Terbregseplein,Gouwe,7,9
Gouwe,Ouderijn,14,18
Ouderijn,Gouwe,14,18
Lunetten,Ouderijn,4,4
Ouderijn,Lunetten,5,5
Lunetten,Everdingen,6,6
Everdingen,Lunetten,6,6
Ouderijn,Everdingen,6,7
Everdingen,Ouderijn,7,7
Ridderkerk,Gorinchem,14,18
Gorinchem,Ridderkerk,14,18
Gorinchem,Everdingen,9,12
Everdingen,Gorinchem,9,12
Gorinchem,Deil,9,12
Deil,Gorinchem,9,12
Deil,Everdingen,7,10
Everdingen,Deil,7,10
Vaanplein,Sabina,14,18
Sabina,Vaanplein,12,18
Sabina,Noordhoek,5,5
Noordhoek,Sabina,5,5
Ridderkerk,Klaverpolder,12,14
Klaverpolder,Ridderkerk,12,14
Klaverpolder,Zonzeel,4,4
Zonzeel,Klaverpolder,4,4
Noordhoek,Klaverpolder,5,7
Klaverpolder,Noordhoek,5,7
Sabina,Zoomland,12,16
Zoomland,Sabina,12,14
Zoomland,De Stok,5,6
De Stok,Zoomland,5,6
De Stok,Noordhoek,7,9
Noordhoek,De Stok,7,9
De Stok,Princeville,12,16
Princeville,De Stok,10,14
Princeville,Zonzeel,5,5
Zonzeel,Princeville,5,5
Zonzeel,Hooipolder,7,10
Hooipolder,Zonzeel,7,10
Princeville,St. Annabosch,7,9
St. Annabosch,Princeville,6,8
St. Annabosch,Hooipolder,8,12
Hooipolder,St. Annabosch,8,12
St. Annabosch,Batadorp,20,26
Batadorp,St. Annabosch,20,26
Batadorp,Ekkersweijer,2,2
Ekkersweijer,Batadorp,2,2
Ekkersweijer,Hintham,12,16
Hintham,Ekkersweijer,12,16
Hintham,Empel,3,3
Empel,Hintham,3,3
Empel,Hooipolder,16,22
Hooipolder,Empel,16,22
Empel,Deil,8,10
Deil,Empel,8,10
Gorinchem,Hooipolder,9,12
Hooipolder,Gorinchem,9,12
Den Haag,Prins Clausplein,8,16
Prins Clausplein,Den Haag,9,14
Rotterdam,Benelux,12,22
Benelux,Rotterdam,16,28
Rotterdam,Kethelplein,14,22
Kethelplein,Rotterdam,12,18
Rotterdam,Terbregseplein,12,22
Terbregseplein,Rotterdam,14,24
Rotterdam,Ridderkerk,16,28
Ridderkerk,Rotterdam,12,20
Rotterdam,Vaanplein,16,26
Vaanplein,Rotterdam,12,24
Breda,Princeville,10,16
Princeville,Breda,10,14
Tilburg,St. Annabosch,14,20
St. Annabosch,Tilburg,16,22
Eindhoven,Batadorp,10,16
Batadorp,Eindhoven,12,16
Eindhoven,Ekkersweijer,10,16
Ekkersweijer,Eindhoven,10,14
Den Bosch,Hintham,12,16
Hintham,Den Bosch,8,9
Den Bosch,Empel,9,14
Empel,Den Bosch,12,12
Utrecht,Lunetten,12,16
Lunetten,Utrecht,12,16
Utrecht,Ouderijn,12,18
Ouderijn,Utrecht,10,18
